year,animal,value
1935,Sheep,29077000
1936,Sheep,30114000
1937,Sheep,31306000
1938,Sheep,32379000
1939,Sheep,31897000
1940,Sheep,31063000
1941,Sheep,31752000
1942,Sheep,29256000
1943,Sheep,29636000
1944,Sheep,33200000
1945,Sheep,33975000
1946,Sheep,30476000
1947,Sheep,32682000
1948,Sheep,32483000
1949,Sheep,32845000
1950,Sheep,33857000
1951,Sheep,34786000
1952,Sheep,35384000
1953,Sheep,36193000
1954,Sheep,38011000
1955,Sheep,39117000
1956,Sheep,40255000
1957,Sheep,42382000
1958,Sheep,46026000
1959,Sheep,46876000
1960,Sheep,47134000
1961,Sheep,48462000
1962,Sheep,48988000
1963,Sheep,50190000
1964,Sheep,51292000
1965,Sheep,53748000
1966,Sheep,57343000
1967,Sheep,60030000
1968,Sheep,60474000
1969,Sheep,59937000
1970,Sheep,60276000
1971,Dairy Cattle,3198000
1971,Beef Cattle,4796000
1971,Pigs,552000
1971,Sheep,58912000
1972,Dairy Cattle,3288000
1972,Beef Cattle,5344000
1972,Pigs,477000
1972,Sheep,60883000
1973,Dairy Cattle,3159000
1973,Beef Cattle,5765000
1973,Pigs,476000
1973,Sheep,56684000
1974,Dairy Cattle,3074000
1974,Beef Cattle,6237000
1974,Pigs,462000
1974,Sheep,55883000
1975,Dairy Cattle,2998000
1975,Beef Cattle,6294000
1975,Pigs,422000
1975,Sheep,55320000
1976,Dairy Cattle,2930000
1976,Beef Cattle,6087000
1976,Pigs,433000
1976,Sheep,56400000
1977,Dairy Cattle,2899000
1977,Beef Cattle,5839000
1977,Pigs,485000
1977,Sheep,59105000
1978,Dairy Cattle,2910736
1978,Beef Cattle,5507275
1978,Pigs,473149
1978,Sheep,61278223
1978,Goats,28192
1979,Dairy Cattle,2900089
1979,Beef Cattle,5122316
1979,Pigs,443452
1979,Sheep,63791096
1979,Goats,48958
1979,Deer,42080
1980,Dairy Cattle,2968953
1980,Beef Cattle,5162261
1980,Pigs,434084
1980,Sheep,68771772
1980,Goats,52607
1980,Deer,104359
1981,Dairy Cattle,2922049
1981,Beef Cattle,5113419
1981,Pigs,420259
1981,Sheep,69883765
1981,Goats,68061
1981,Deer,109158
1982,Dairy Cattle,3006664
1982,Beef Cattle,4905639
1982,Pigs,405771
1982,Sheep,70301461
1982,Goats,92747
1982,Deer,151020
1983,Dairy Cattle,3133923
1983,Beef Cattle,4496559
1983,Pigs,408403
1983,Sheep,70262574
1983,Goats,150497
1983,Deer,195653
1984,Dairy Cattle,3245524
1984,Beef Cattle,4530565
1984,Pigs,436396
1984,Sheep,69738672
1984,Goats,230365
1984,Deer,258707
1985,Dairy Cattle,3308030
1985,Beef Cattle,4613120
1985,Pigs,454462
1985,Sheep,67853622
1985,Goats,426887
1985,Deer,319908
1986,Dairy Cattle,3398291
1986,Beef Cattle,4880831
1986,Pigs,435012
1986,Sheep,67469515
1986,Goats,722564
1986,Deer,392154
1987,Dairy Cattle,3194780
1987,Beef Cattle,4804178
1987,Pigs,425542
1987,Sheep,64243862
1987,Goats,1053955
1987,Deer,500397
1988,Dairy Cattle,3199730
1988,Beef Cattle,4858168
1988,Pigs,413558
1988,Sheep,64600077
1988,Goats,1300680
1988,Deer,606042
1989,Dairy Cattle,3302377
1989,Beef Cattle,4526056
1989,Pigs,411334
1989,Sheep,60568653
1989,Goats,1222388
1989,Deer,780066
1990,Dairy Cattle,3440815
1990,Beef Cattle,4593160
1990,Pigs,394701
1990,Sheep,57852192
1990,Goats,1062900
1990,Deer,976290
1991,Dairy Cattle,3429427
1991,Beef Cattle,4670569
1991,Pigs,407306
1991,Sheep,55161643
1991,Goats,792577
1991,Deer,1129503
1992,Dairy Cattle,3467824
1992,Beef Cattle,4676497
1992,Pigs,411148
1992,Sheep,52568393
1992,Goats,532767
1992,Deer,1135242
