year,age,births
1962,14,21
1962,15,108
1962,16,357
1962,17,933
1962,18,1623
1962,19,2265
1962,20,3288
1962,21,4368
1962,22,4797
1962,23,4830
1962,24,4716
1962,25,4428
1962,26,4071
1962,27,3582
1962,28,3405
1962,29,3054
1962,30,2799
1962,31,2574
1962,32,2400
1962,33,1989
1962,34,1728
1962,35,1485
1962,36,1398
1962,37,1125
1962,38,972
1962,39,801
1962,40,645
1962,41,459
1962,42,327
1962,43,189
1962,44,135
1962,45,78
1962,46,30
1963,14,27
1963,15,99
1963,16,459
1963,17,1020
1963,18,1872
1963,19,2577
1963,20,3144
1963,21,4185
1963,22,4905
1963,23,4950
1963,24,4707
1963,25,4332
1963,26,4032
1963,27,3525
1963,28,3261
1963,29,2931
1963,30,2688
1963,31,2391
1963,32,2304
1963,33,2004
1963,34,1641
1963,35,1527
1963,36,1305
1963,37,1086
1963,38,993
1963,39,768
1963,40,585
1963,41,447
1963,42,336
1963,43,201
1963,44,114
1963,45,54
1963,46,30
1964,14,36
1964,15,126
1964,16,555
1964,17,1230
1964,18,1929
1964,19,2553
1964,20,3255
1964,21,3729
1964,22,4632
1964,23,5007
1964,24,4641
1964,25,4296
1964,26,3789
1964,27,3381
1964,28,3120
1964,29,2796
1964,30,2403
1964,31,2073
1964,32,2061
1964,33,1911
1964,34,1656
1964,35,1473
1964,36,1230
1964,37,981
1964,38,915
1964,39,747
1964,40,555
1964,41,405
1964,42,360
1964,43,219
1964,44,129
1964,45,60
1964,46,33
1965,14,30
1965,15,120
1965,16,519
1965,17,1260
1965,18,2205
1965,19,2757
1965,20,3336
1965,21,3807
1965,22,4113
1965,23,4764
1965,24,4854
1965,25,4380
1965,26,3771
1965,27,3327
1965,28,2898
1965,29,2592
1965,30,2142
1965,31,1824
1965,32,1797
1965,33,1593
1965,34,1509
1965,35,1368
1965,36,1074
1965,37,924
1965,38,780
1965,39,666
1965,40,537
1965,41,390
1965,42,273
1965,43,210
1965,44,129
1965,45,54
1965,46,27
1966,14,45
1966,15,150
1966,16,579
1966,17,1353
1966,18,2379
1966,19,3246
1966,20,3441
1966,21,4011
1966,22,4272
1966,23,4326
1966,24,4770
1966,25,4629
1966,26,3930
1966,27,3291
1966,28,2931
1966,29,2550
1966,30,2160
1966,31,1740
1966,32,1614
1966,33,1437
1966,34,1254
1966,35,1230
1966,36,978
1966,37,891
1966,38,726
1966,39,606
1966,40,495
1966,41,321
1966,42,252
1966,43,186
1966,44,105
1966,45,57
1966,46,30
1967,14,51
1967,15,171
1967,16,624
1967,17,1512
1967,18,2343
1967,19,3408
1967,20,3993
1967,21,4134
1967,22,4401
1967,23,4599
1967,24,4287
1967,25,4599
1967,26,4302
1967,27,3564
1967,28,3072
1967,29,2619
1967,30,2124
1967,31,1743
1967,32,1566
1967,33,1269
1967,34,1218
1967,35,1020
1967,36,978
1967,37,819
1967,38,642
1967,39,546
1967,40,456
1967,41,294
1967,42,255
1967,43,168
1967,44,99
1967,45,66
1967,46,30
1968,14,39
1968,15,159
1968,16,630
1968,17,1536
1968,18,2448
1968,19,3288
1968,20,4035
1968,21,4665
1968,22,4611
1968,23,4764
1968,24,4569
1968,25,4185
1968,26,4353
1968,27,3846
1968,28,3273
1968,29,2643
1968,30,2322
1968,31,1788
1968,32,1500
1968,33,1236
1968,34,1161
1968,35,1002
1968,36,885
1968,37,759
1968,38,684
1968,39,471
1968,40,369
1968,41,291
1968,42,243
1968,43,153
1968,44,99
1968,45,51
1968,46,30
1969,14,30
1969,15,186
1969,16,663
1969,17,1563
1969,18,2475
1969,19,3105
1969,20,3792
1969,21,4437
1969,22,5130
1969,23,4887
1969,24,4674
1969,25,4419
1969,26,3828
1969,27,3963
1969,28,3459
1969,29,2745
1969,30,2388
1969,31,1803
1969,32,1605
1969,33,1296
1969,34,1113
1969,35,966
1969,36,816
1969,37,654
1969,38,666
1969,39,507
1969,40,414
1969,41,273
1969,42,228
1969,43,126
1969,44,78
1969,45,45
1969,46,21
1970,14,45
1970,15,180
1970,16,672
1970,17,1629
1970,18,2475
1970,19,3156
1970,20,3888
1970,21,4257
1970,22,4923
1970,23,5340
1970,24,4908
1970,25,4452
1970,26,3966
1970,27,3411
