DHB,Age,Dose,Vacc,Population,Prop
Auckland,12 to 29,One Dose,120684,127541,0.9462368963705788
Auckland,12 to 29,Fully vaccinated,102623,127541,0.8046275315388777
Auckland,30 to 49,One Dose,139640,149143,0.9362826280817739
Auckland,30 to 49,Fully vaccinated,126491,149143,0.8481189194263223
Auckland,50 to 64,One Dose,79668,85039,0.9368407436587919
Auckland,50 to 64,Fully vaccinated,75309,85039,0.8855819094768282
Auckland,65+,One Dose,58648,62151,0.9436372705185757
Auckland,65+,Fully vaccinated,56604,62151,0.9107496259110875
Bay of Plenty,12 to 29,One Dose,39372,55027,0.7155032983807948
Bay of Plenty,12 to 29,Fully vaccinated,25396,55027,0.4615188907263707
Bay of Plenty,30 to 49,One Dose,50504,61986,0.8147646242699964
Bay of Plenty,30 to 49,Fully vaccinated,39124,61986,0.6311747814022521
Bay of Plenty,50 to 64,One Dose,42754,48880,0.8746726677577742
Bay of Plenty,50 to 64,Fully vaccinated,38372,48880,0.785024549918167
Bay of Plenty,65+,One Dose,48441,50975,0.9502893575282001
Bay of Plenty,65+,Fully vaccinated,46425,50975,0.9107405590975969
Canterbury,12 to 29,One Dose,115548,132710,0.8706804310149951
Canterbury,12 to 29,Fully vaccinated,78414,132710,0.5908673046492352
Canterbury,30 to 49,One Dose,135288,150802,0.8971233803265208
Canterbury,30 to 49,Fully vaccinated,106079,150802,0.7034323152212836
Canterbury,50 to 64,One Dose,101407,107731,0.941298233563227
Canterbury,50 to 64,Fully vaccinated,91671,107731,0.8509249890932044
Canterbury,65+,One Dose,90357,91604,0.9863870573337409
Canterbury,65+,Fully vaccinated,86971,91604,0.9494236059560718
Capital and Coast,12 to 29,One Dose,73669,82377,0.8942908821637108
Capital and Coast,12 to 29,Fully vaccinated,58343,82377,0.7082438059167
Capital and Coast,30 to 49,One Dose,81209,89347,0.9089169194265057
Capital and Coast,30 to 49,Fully vaccinated,70808,89347,0.7925056241395906
Capital and Coast,50 to 64,One Dose,53844,56517,0.9527044959923563
Capital and Coast,50 to 64,Fully vaccinated,50922,56517,0.9010032379637986
Capital and Coast,65+,One Dose,41626,42877,0.9708235184364578
Capital and Coast,65+,Fully vaccinated,40381,42877,0.9417869720362898
Counties Manukau,12 to 29,One Dose,130175,154828,0.8407716950422405
Counties Manukau,12 to 29,Fully vaccinated,101830,154828,0.6576975740822073
Counties Manukau,30 to 49,One Dose,145506,160705,0.9054229799943997
Counties Manukau,30 to 49,Fully vaccinated,127598,160705,0.793988986030304
Counties Manukau,50 to 64,One Dose,91209,98630,0.9247592010544459
Counties Manukau,50 to 64,Fully vaccinated,85339,98630,0.8652438406164453
Counties Manukau,65+,One Dose,64139,68541,0.9357756671189507
Counties Manukau,65+,Fully vaccinated,61809,68541,0.9017814155031295
Hawke's Bay,12 to 29,One Dose,28237,38566,0.7321734169994295
Hawke's Bay,12 to 29,Fully vaccinated,19710,38566,0.5110719286418088
Hawke's Bay,30 to 49,One Dose,33739,40896,0.8249951095461658
Hawke's Bay,30 to 49,Fully vaccinated,27299,40896,0.6675224960876369
Hawke's Bay,50 to 64,One Dose,30416,33749,0.9012415182672079
Hawke's Bay,50 to 64,Fully vaccinated,27741,33749,0.8219799105158672
Hawke's Bay,65+,One Dose,31019,32284,0.960816503531161
Hawke's Bay,65+,Fully vaccinated,29881,32284,0.9255668442572172
Hutt Valley,12 to 29,One Dose,28108,34979,0.8035678549987135
Hutt Valley,12 to 29,Fully vaccinated,20636,34979,0.5899539723834301
Hutt Valley,30 to 49,One Dose,38296,43691,0.876519191595523
Hutt Valley,30 to 49,Fully vaccinated,31859,43691,0.7291890778421185
Hutt Valley,50 to 64,One Dose,27024,29097,0.9287555418084339
Hutt Valley,50 to 64,Fully vaccinated,25029,29097,0.8601917723476648
Hutt Valley,65+,One Dose,21562,22405,0.9623744699843785
Hutt Valley,65+,Fully vaccinated,20794,22405,0.9280964070519974
Lakes,12 to 29,One Dose,17938,26125,0.686622009569378
Lakes,12 to 29,Fully vaccinated,11753,26125,0.44987559808612443
Lakes,30 to 49,One Dose,22093,28240,0.7823300283286119
Lakes,30 to 49,Fully vaccinated,17358,28240,0.6146600566572238
Lakes,50 to 64,One Dose,18920,21505,0.8797953964194374
Lakes,50 to 64,Fully vaccinated,17020,21505,0.7914438502673797
Lakes,65+,One Dose,17621,18489,0.9530531667477959
Lakes,65+,Fully vaccinated,16842,18489,0.9109200064903457
MidCentral,12 to 29,One Dose,33502,42566,0.7870600949114317
MidCentral,12 to 29,Fully vaccinated,23627,42566,0.5550674247051638
MidCentral,30 to 49,One Dose,35750,42125,0.8486646884272997
MidCentral,30 to 49,Fully vaccinated,29080,42125,0.6903264094955489
MidCentral,50 to 64,One Dose,30967,34436,0.899262399814148
MidCentral,50 to 64,Fully vaccinated,28239,34436,0.8200429782785457
MidCentral,65+,One Dose,31766,33130,0.9588288560217326
MidCentral,65+,Fully vaccinated,30565,33130,0.9225777241171144
Nelson Marlborough,12 to 29,One Dose,23482,30178,0.778116508714958
Nelson Marlborough,12 to 29,Fully vaccinated,17154,30178,0.5684273311684008
Nelson Marlborough,30 to 49,One Dose,31501,37287,0.8448252742242605
Nelson Marlborough,30 to 49,Fully vaccinated,26735,37287,0.7170059269986858
Nelson Marlborough,50 to 64,One Dose,30292,34422,0.8800185927604439
Nelson Marlborough,50 to 64,Fully vaccinated,28093,34422,0.8161350299227238
Nelson Marlborough,65+,One Dose,32505,33750,0.9631111111111111
Nelson Marlborough,65+,Fully vaccinated,31503,33750,0.9334222222222223
Northland,12 to 29,One Dose,26245,39788,0.6596209912536443
Northland,12 to 29,Fully vaccinated,16644,39788,0.418317080526792
Northland,30 to 49,One Dose,32133,42577,0.754703243535242
Northland,30 to 49,Fully vaccinated,24491,42577,0.5752166662752191
Northland,50 to 64,One Dose,34028,40331,0.843718231633235
Northland,50 to 64,Fully vaccinated,30207,40331,0.7489772135578091
Northland,65+,One Dose,36036,38527,0.9353440444363693
Northland,65+,Fully vaccinated,34201,38527,0.8877151088846783
South Canterbury,12 to 29,One Dose,9474,12482,0.7590129786893126
South Canterbury,12 to 29,Fully vaccinated,6717,12482,0.5381349142765582
South Canterbury,30 to 49,One Dose,11742,14166,0.8288860652265989
South Canterbury,30 to 49,Fully vaccinated,9725,14166,0.6865028942538473
South Canterbury,50 to 64,One Dose,11588,12751,0.9087914673358952
South Canterbury,50 to 64,Fully vaccinated,10702,12751,0.839306721041487
South Canterbury,65+,One Dose,12713,13105,0.9700877527661198
South Canterbury,65+,Fully vaccinated,12405,13105,0.9465852727966425
Southern,12 to 29,One Dose,70240,80840,0.8688767936665017
Southern,12 to 29,Fully vaccinated,53580,80840,0.6627906976744186
Southern,30 to 49,One Dose,74910,85526,0.8758740032270889
Southern,30 to 49,Fully vaccinated,63076,85526,0.7375067231017468
Southern,50 to 64,One Dose,59045,64518,0.9151709600421588
Southern,50 to 64,Fully vaccinated,54893,64518,0.8508168263120369
Southern,65+,One Dose,55511,57065,0.9727678962586525
Southern,65+,Fully vaccinated,53868,57065,0.9439761675282573
Tairāwhiti,12 to 29,One Dose,8236,12429,0.6626438168798777
Tairāwhiti,12 to 29,Fully vaccinated,5462,12429,0.4394561107088261
Tairāwhiti,30 to 49,One Dose,9212,12173,0.7567567567567568
Tairāwhiti,30 to 49,Fully vaccinated,7069,12173,0.5807114104986445
Tairāwhiti,50 to 64,One Dose,8081,9432,0.8567642069550466
Tairāwhiti,50 to 64,Fully vaccinated,7234,9432,0.7669635284139101
Tairāwhiti,65+,One Dose,7493,7843,0.9553742190488334
Tairāwhiti,65+,Fully vaccinated,7159,7843,0.9127884737982914
Taranaki,12 to 29,One Dose,19042,25985,0.732807388878199
Taranaki,12 to 29,Fully vaccinated,12382,25985,0.4765056763517414
Taranaki,30 to 49,One Dose,24465,30244,0.8089207776749108
Taranaki,30 to 49,Fully vaccinated,17979,30244,0.5944650178547811
Taranaki,50 to 64,One Dose,21354,23851,0.895308372814557
Taranaki,50 to 64,Fully vaccinated,18259,23851,0.7655444216175422
Taranaki,65+,One Dose,21426,21997,0.9740419148065645
Taranaki,65+,Fully vaccinated,20008,21997,0.9095785788971223
Waikato,12 to 29,One Dose,81778,102004,0.8017136582879103
Waikato,12 to 29,Fully vaccinated,58656,102004,0.57503627308733
Waikato,30 to 49,One Dose,91988,107380,0.8566585956416465
Waikato,30 to 49,Fully vaccinated,75421,107380,0.7023747439001676
Waikato,50 to 64,One Dose,69777,77407,0.901430103220639
Waikato,50 to 64,Fully vaccinated,63233,77407,0.8168899453537793
Waikato,65+,One Dose,67570,70320,0.9608930602957907
Waikato,65+,Fully vaccinated,64439,70320,0.91636803185438
Wairarapa,12 to 29,One Dose,7006,9643,0.7265373846313388
Wairarapa,12 to 29,Fully vaccinated,4715,9643,0.48895571917453073
Wairarapa,30 to 49,One Dose,8887,10887,0.8162946633599706
Wairarapa,30 to 49,Fully vaccinated,7091,10887,0.6513272710572242
Wairarapa,50 to 64,One Dose,9343,10244,0.9120460757516595
Wairarapa,50 to 64,Fully vaccinated,8591,10244,0.8386372510737993
Wairarapa,65+,One Dose,10231,10562,0.9686612384018178
Wairarapa,65+,Fully vaccinated,9869,10562,0.9343874266237455
Waitematā,12 to 29,One Dose,126009,142028,0.8872123806573352
Waitematā,12 to 29,Fully vaccinated,102503,142028,0.7217098037006787
Waitematā,30 to 49,One Dose,165138,180903,0.9128538498532363
Waitematā,30 to 49,Fully vaccinated,145835,180903,0.8061502573202214
Waitematā,50 to 64,One Dose,105300,113835,0.925023059691659
Waitematā,50 to 64,Fully vaccinated,98216,113835,0.8627926384679581
Waitematā,65+,One Dose,84437,89259,0.9459774364489856
Waitematā,65+,Fully vaccinated,81575,89259,0.9139134429021163
West Coast,12 to 29,One Dose,4194,5935,0.7066554338668913
West Coast,12 to 29,Fully vaccinated,2674,5935,0.450547598989048
West Coast,30 to 49,One Dose,5606,7276,0.7704782847718527
West Coast,30 to 49,Fully vaccinated,4327,7276,0.5946948873007146
West Coast,50 to 64,One Dose,6759,7863,0.8595955742083174
West Coast,50 to 64,Fully vaccinated,5907,7863,0.7512399847386494
West Coast,65+,One Dose,6265,6709,0.9338202414666865
West Coast,65+,Fully vaccinated,5938,6709,0.8850797436279625
Whanganui,12 to 29,One Dose,9843,14670,0.6709611451942741
Whanganui,12 to 29,Fully vaccinated,6832,14670,0.46571233810497614
Whanganui,30 to 49,One Dose,11553,15158,0.7621717904736772
Whanganui,30 to 49,Fully vaccinated,9180,15158,0.6056207943000396
Whanganui,50 to 64,One Dose,12054,13864,0.8694460473167916
Whanganui,50 to 64,Fully vaccinated,10924,13864,0.7879399884593191
Whanganui,65+,One Dose,12797,13494,0.9483474136653327
Whanganui,65+,Fully vaccinated,12315,13494,0.9126278345931526
