month,price,product
2006-06-01,3.12,Standard
2006-07-01,3.15,Standard
2006-08-01,3.15,Standard
2006-09-01,3.04,Standard
2006-01-01,3.12,Standard
2006-11-01,3.12,Standard
2006-12-01,3.17,Standard
2007-01-01,3.09,Standard
2007-02-01,3.23,Standard
2007-03-01,3.19,Standard
2007-04-01,3.14,Standard
2007-05-01,3.23,Standard
2007-06-01,3.12,Standard
2007-07-01,3.26,Standard
2007-08-01,3.05,Standard
2007-09-01,3.19,Standard
2007-01-01,3.27,Standard
2007-11-01,3.31,Standard
2007-12-01,3.28,Standard
2008-01-01,3.26,Standard
2008-02-01,3.23,Standard
2008-03-01,3.34,Standard
2008-04-01,3.6,Standard
2008-05-01,3.6,Standard
2008-06-01,3.52,Standard
2008-07-01,3.46,Standard
2008-08-01,3.62,Standard
2008-09-01,3.64,Standard
2008-01-01,3.55,Standard
2008-11-01,3.7,Standard
2008-12-01,3.64,Standard
2009-01-01,3.67,Standard
2009-02-01,3.61,Standard
2009-03-01,3.38,Standard
2009-04-01,3.37,Standard
2009-05-01,3.34,Standard
2009-06-01,3.21,Standard
2009-07-01,3.33,Standard
2009-08-01,3.27,Standard
2009-09-01,3.23,Standard
2009-01-01,3.21,Standard
2009-11-01,3.28,Standard
2009-12-01,3.34,Standard
2010-01-01,3.35,Standard
2010-02-01,3.43,Standard
2010-03-01,3.34,Standard
2010-04-01,3.39,Standard
2010-05-01,3.36,Standard
2010-06-01,3.3,Standard
2010-07-01,3.21,Standard
2010-08-01,3.36,Standard
2010-09-01,3.35,Standard
2010-01-01,3.39,Standard
2010-11-01,3.41,Standard
2010-12-01,3.32,Standard
2011-01-01,3.36,Standard
2011-02-01,3.36,Standard
2011-03-01,3.43,Standard
2011-04-01,3.42,Standard
2011-05-01,3.43,Standard
2011-06-01,3.44,Standard
2011-07-01,3.45,Standard
2011-08-01,3.4,Standard
2011-09-01,3.45,Standard
2011-01-01,3.44,Standard
2011-11-01,3.39,Standard
2011-12-01,3.43,Standard
2012-01-01,3.44,Standard
2012-02-01,3.45,Standard
2012-03-01,3.42,Standard
2012-04-01,3.4,Standard
2012-05-01,3.44,Standard
2012-06-01,3.51,Standard
2012-07-01,3.53,Standard
2012-08-01,3.45,Standard
2012-09-01,3.43,Standard
2012-01-01,3.51,Standard
2012-11-01,3.43,Standard
2012-12-01,3.48,Standard
2013-01-01,3.5,Standard
2013-02-01,3.46,Standard
2013-03-01,3.44,Standard
2013-04-01,3.51,Standard
2013-05-01,3.55,Standard
2013-06-01,3.63,Standard
2013-07-01,3.69,Standard
2013-08-01,3.7,Standard
2013-09-01,3.66,Standard
2013-01-01,3.77,Standard
2013-11-01,3.78,Standard
2013-12-01,3.76,Standard
2014-01-01,3.59,Standard
2014-02-01,3.71,Standard
2014-03-01,3.69,Standard
2014-04-01,3.7,Standard
2014-05-01,3.78,Standard
2014-06-01,3.74,Standard
2014-07-01,3.77,Standard
2014-08-01,3.69,Standard
2014-09-01,3.76,Standard
2014-01-01,3.81,Standard
2014-11-01,3.84,Standard
2014-12-01,3.86,Standard
2015-01-01,3.78,Standard
2015-02-01,3.79,Standard
2015-03-01,3.64,Standard
2015-04-01,3.71,Standard
2015-05-01,3.87,Standard
2015-06-01,3.83,Standard
2015-07-01,3.81,Standard
2015-08-01,3.77,Standard
2015-09-01,3.74,Standard
2015-01-01,3.76,Standard
2015-11-01,3.82,Standard
2015-12-01,3.64,Standard
2016-01-01,3.77,Standard
2016-02-01,3.72,Standard
2016-03-01,3.75,Standard
2016-04-01,3.8,Standard
2016-05-01,3.78,Standard
2016-06-01,3.8,Standard
2016-07-01,3.77,Standard
2016-08-01,3.82,Standard
2016-09-01,3.88,Standard
2016-01-01,3.94,Standard
2016-11-01,3.73,Standard
2016-12-01,3.8,Standard
2017-01-01,3.8,Standard
2017-02-01,3.85,Standard
2017-03-01,3.87,Standard
2017-04-01,3.9,Standard
2017-05-01,3.93,Standard
2017-06-01,3.83,Standard
2017-07-01,3.76,Standard
2017-08-01,3.74,Standard
2017-09-01,3.77,Standard
2017-01-01,3.9,Standard
2017-11-01,3.89,Standard
2017-12-01,3.81,Standard
2018-01-01,3.9,Standard
2018-02-01,3.91,Standard
2018-03-01,3.9,Standard
2018-04-01,3.89,Standard
2018-05-01,3.88,Standard
2018-06-01,3.8,Standard
2018-07-01,3.86,Standard
2018-08-01,4,Standard
2018-09-01,4.14,Standard
2018-01-01,4.18,Standard
2018-11-01,4.18,Standard
2018-12-01,4.25,Standard
2019-01-01,4.19,Standard
2019-02-01,4.3,Standard
2019-03-01,4.32,Standard
2019-04-01,4.43,Standard
2019-05-01,4.51,Standard
2019-06-01,4.63,Standard
2019-07-01,4.51,Standard
2019-08-01,4.61,Standard
2019-09-01,4.44,Standard
2019-01-01,4.42,Standard
2019-11-01,4.39,Standard
2019-12-01,4.39,Standard
2020-01-01,4.48,Standard
2020-02-01,4.53,Standard
2020-03-01,4.48,Standard
2020-04-01,4.78,Standard
2020-05-01,4.64,Standard
2020-06-01,4.31,Standard
2020-07-01,4.34,Standard
2020-08-01,4.57,Standard
2020-09-01,4.42,Standard
2020-01-01,4.46,Standard
2020-11-01,4.21,Standard
2020-12-01,4.32,Standard
2021-01-01,4.22,Standard
2021-02-01,4.3,Standard
2021-03-01,4.46,Standard
2021-04-01,4.48,Standard
2021-05-01,4.62,Standard
2021-06-01,4.66,Standard
2021-07-01,4.81,Standard
2021-08-01,4.65,Standard
2021-09-01,5.22,Standard
2021-01-01,4.98,Standard
2021-11-01,5.13,Standard
2021-12-01,5.07,Standard
2022-01-01,5.09,Standard
2022-02-01,5.15,Standard
2022-03-01,4.93,Standard
2022-04-01,5.01,Standard
2022-05-01,4.86,Standard
2022-06-01,5.13,Standard
2022-07-01,5.34,Standard
2022-08-01,5.85,Standard
2022-09-01,5.85,Standard
2022-01-01,6.28,Standard
2022-11-01,5.93,Standard
2022-12-01,6.68,Standard
2023-01-01,7.04,Standard
2023-02-01,7.84,Standard
2023-03-01,8.36,Standard
2023-04-01,8.44,Standard
2023-05-01,8.58,Standard
2023-06-01,8.58,Standard
2023-07-01,9.5,Standard
2023-08-01,9.31,Standard
2023-09-01,9.19,Standard
2023-01-01,9.08,Standard
2023-11-01,9.3,Standard
2023-12-01,9.28,Standard
2024-01-01,9.54,Standard
2024-02-01,9.33,Standard
2024-03-01,9.28,Standard
2024-04-01,9.17,Standard
2024-05-01,8.89,Standard
2024-06-01,9.41,Standard
2024-07-01,8.65,Standard
2024-08-01,8.92,Standard
2024-09-01,8.86,Standard
2024-01-01,8.34,Standard
2024-11-01,8.38,Standard
2024-12-01,8.37,Standard
2025-01-01,8.89,Standard
2025-02-01,9.35,Standard
2025-03-01,9.28,Standard
2025-04-01,9.52,Standard
2025-05-01,9.67,Standard
2025-06-01,10.01,Standard
2025-07-01,10.05,Standard
2025-08-01,10.16,Standard
2025-09-01,10.14,Standard
2025-01-01,9.88,Standard
2025-11-01,9.38,Standard
