year,population
1937,1587400
1938,1604500
1939,1626500
1940,1636100
1941,1629000
1942,1638700
1943,1632700
1944,1653800
1945,1688100
1946,1759400
1947,1797400
1948,1833400
1949,1871100
1950,1908300
1951,1947300
1952,1994800
1953,2047400
1954,2092800
1955,2136200
1956,2178300
1957,2229400
1958,2281500
1959,2331100
1960,2371800
1961,2419700
1962,2482000
1963,2531800
1964,2585400
1965,2628400
1966,2675900
1967,2724100
1968,2748100
1969,2772800
1970,2810700
1971,2853000
1972,2903900
1973,2961300
1974,3023700
1975,3083100
1976,3110500
1977,3120200
1978,3121200
1979,3109000
1980,3112900
1981,3124900
1982,3156100
1983,3199300
1984,3227100
1985,3247100
1986,3246300
1987,3274400
1988,3283400
1989,3299200
1990,3329800
1991,3495100
1992,3531700
1993,3572200
1994,3620000
1995,3673400
1996,3732000
1997,3781300
1998,3815000
1999,3835100
2000,3857700
2001,3880500
2002,3948500
2003,4027200
2004,4087500
2005,4133900
2006,4184600
2007,4223800
2008,4259800
2009,4302600
2010,4350700
2011,4384000
2012,4408100
2013,4442100
2014,4516500
2015,4609400
2016,4714100
2017,4813600
2018,4900600
2019,4970300
2020,5072400
2021,5084600
2022,5081700
2023,5200000
2024,5290000
2025,5324700
