produced,smoothed,day
29854,38400.523780498785,0
43170,38412.6852686395,1
21218,38421.40291160112,2
51996,38426.66849474558,3
50063,38428.47491171162,4
51997,38426.8161693661,5
42307,38421.687392371496,6
47912,38413.08482735736,7
21890,38401.00584670093,8
28432,38385.448951906976,9
49676,38366.41377659318,10
43580,38343.90108907091,11
48524,38317.91279452613,12
24878,38288.45193679355,13
8791,38255.52269972735,14
33935,38219.13040816196,15
41920,38179.281528466716,16
40069,38135.98366868941,17
44000,38089.245578291324,18
27298,38039.07714746747,19
16044,37985.48940606023,20
23977,37928.4945220565,21
41749,37868.10579967465,22
32377,37804.33767703995,23
30243,37737.20572344353,24
35337,37666.726636194384,25
37674,37592.918237057725,26
48151,37515.79946828048,27
35940,37435.39038820844,28
47718,37351.71216649419,29
48040,37264.78707889587,30
44843,37174.63850166744,31
18088,37081.29090554629,32
19380,36984.76984933542,33
45401,36885.101973079596,34
50801,36782.31499084764,35
35071,36676.43768311053,36
25603,36567.49988872561,37
40190,36455.53249652503,38
46211,36340.56743651643,39
44063,36222.63767068868,40
42992,36101.77718343858,41
46843,35978.0209716081,42
25741,35851.40503414651,43
13341,35721.96636139236,44
10739,35589.74292398542,45
35679,35454.77366140611,46
25829,35317.098470151104,47
38850,35176.758191545516,48
18421,35033.79459919861,49
42740,34888.25038610452,50
46909,34740.16915139351,51
24269,34589.595386739646,52
47175,34436.574462425895,53
30597,34281.15261307592,54
47121,34123.376923053416,55
21511,33963.29531153558,56
16311,33800.95651726764,57
47805,33636.41008300133,58
37782,33469.70633962114,59
30101,33300.8963899706,60
26024,33130.03209237581,61
30236,32957.166043878024,62
31208,32782.351563179116,63
33186,32605.642673305287,64
17895,32427.094083995726,65
20233,32246.761173824787,66
21611,32064.699972057795,67
37856,31880.967140255852,68
41864,31695.619953626672,69
45195,31508.716282137342,70
29422,31320.314571386712,71
21572,31130.47382325329,72
44815,30939.25357631703,73
40452,30746.71388606965,74
41706,30552.915304915266,75
38295,30357.918861970844,76
36315,30161.786042673368,77
33444,29964.578768201645,78
40536,29766.359374719606,79
43005,29567.190592448744,80
42820,29367.135524576755,81
21570,29166.25762601236,82
23089,28964.6206819905,83
7064,28762.288786539757,84
19654,28559.32632081535,85
37281,28355.797931310386,86
16184,28151.768507949833,87
13149,27947.303162076852,88
30927,27742.467204338587,89
41755,27537.32612248153,90
40177,27331.945559061925,91
33218,27126.391289082,92
34878,26920.72919755801,93
37360,26715.025257029687,94
36658,26509.345505020334,95
13912,26303.75602145287,96
18227,26098.322906033405,97
33094,25893.112255608692,98
37301,25688.19014150674,99
31610,25483.622586868718,100
7007,25279.47554398093,101
6871,25075.814871613657,102
23034,24872.706312378235,103
23098,24670.215470108276,104
32927,24468.40778727366,105
11326,24267.3485224369,106
11787,24067.10272776099,107
27974,23867.735226572127,108
4576,23669.310590992725,109
2798,23471.893119649038,110
27686,23275.546815460133,111
16861,23080.33536352063,112
33932,22886.322109082867,113
33750,22693.570035647637,114
19121,22502.14174316939,115
29715,22312.099426388908,116
31505,22123.50485329586,117
10971,21936.419343733105,118
29143,21750.903748149693,119
32139,21567.018426509225,120
31232,21384.82322736462,121
29204,21204.377467101884,122
8737,21025.73990936698,123
24429,20848.968744677542,124
23168,20674.12157023188,125
22457,20501.25536991885,126
11651,20330.426494538973,127
13851,20161.690642242495,128
13652,19995.102839192463,129
29564,19830.717420459085,130
11654,19668.588011154367,131
18545,19508.767507811383,132
15301,19351.3080600182,133
23908,19196.26105230993,134
19118,19043.677086328287,135
13548,18893.605963255075,136
23384,18746.096666523357,137
28370,18601.197344817032,138
25370,18458.955295361317,139
24858,18319.416947512786,140
18137,18182.627846653893,141
11415,18048.632638397656,142
25946,17917.475053110218,143
25869,17789.197890754513,144
17289,17663.843006062263,145
24844,17541.45129403977,146
20955,17422.062675811903,147
24726,17305.716084810207,148
23743,17192.449453309877,149
18793,17082.29969932181,150
4291,16975.30271384184,151
3186,16871.49334846469,152
14272,16770.905403365774,153
10107,16673.57161565499,154
5462,16579.523648108094,155
16117,16488.792078277562,156
22409,16401.406387990297,157
9239,16317.394953231531,158
1947,16236.785034423083,159
7867,16159.602767096585,160
21603,16085.873152965389,161
15042,16015.620051399645,162
13496,15948.866171307352,163
6070,15885.633063421905,164
12113,15825.941113003006,165
6815,15769.809532949119,166
8969,15717.256357328195,167
8839,15668.298435325167,168
23094,15622.951425610852,169
8229,15581.229791132893,170
6906,15543.146794331726,171
23309,15508.714492780957,172
9921,15477.943735257446,173
16541,15450.844158237232,174
21951,15427.424182823917,175
12791,15407.691012106254,176
12243,15391.65062894774,177
17597,15379.307794208376,178
17886,15370.6660454003,179
38046,15365.727695773807,180
46470,15364.493833839573,181
20213,15366.964323322323,182
888,15373.137803548118,183
7131,15383.011690263418,184
5309,15396.58217688839,185
23995,15413.844236198784,186
18938,15434.791622441626,187
23833,15459.416873877257,188
6037,15487.711315753753,189
18679,15519.665063704626,190
3113,15555.267027574708,191
13575,15594.504915669488,192
10849,15637.365239426552,193
14754,15683.833318507575,194
23626,15733.893286307808,195
10528,15787.52809588275,196
7210,15844.719526286732,197
23304,15905.448189323288,198
13948,15969.693536704595,199
25871,16037.43386761329,200
25819,16108.64633666967,201
23101,16183.306962295916,202
16573,16261.390635477044,203
27955,16342.8711289122,204
28436,16427.72110655738,205
27765,16515.912133549835,206
27812,16607.414686515986,207
28265,16702.19816425373,208
1563,16800.230898788664,209
10695,16901.480166798312,210
9037,17005.91220139961,211
12575,17113.492204295602,212
9163,17224.184358277547,213
15710,17337.951840073918,214
12631,17454.756833547086,215
19351,17574.560543226602,216
20569,17697.323208178466,217
28503,17823.004116201526,218
8387,17951.561618348787,219
17275,18082.953143764214,220
17070,18217.13521483401,221
16630,18354.06346264099,222
19114,18493.692642721653,223
23850,18635.976651116012,224
25678,18780.86854070476,225
27368,18928.320537829335,226
26297,19078.284059186728,227
10575,19230.70972899253,228
20613,19385.54739640675,229
15385,19542.746153215427,230
12241,19702.254351760188,231
12335,19864.019623111613,232
19946,20027.98889547502,233
34871,20194.108412826725,234
33731,20362.323753771052,235
34108,20532.579850609516,236
30623,20704.82100861959,237
35231,20878.99092552939,238
17174,21055.032711188687,239
15842,21232.88890742052,240
31512,21412.501508052344,241
5121,21593.81197911709,242
25800,21776.761279214596,243
21549,21961.289880029173,244
35781,22147.337786992808,245
20647,22334.844560088575,246
29815,22523.749334784254,247
21445,22713.990843090214,248
32906,22905.507434731946,249
30465,23098.237098431753,250
31098,23292.11748328939,251
